account_id,customer_id,account_number,account_type,balance,currency,status,opened_date,branch_id
1001,1,****3421,CHECKING,4250.75,USD,ACTIVE,2023-01-15,1
1002,1,****8812,SAVINGS,18500.00,USD,ACTIVE,2023-01-15,1
1003,2,****6634,CHECKING,1823.42,USD,ACTIVE,2023-02-20,3
1004,2,****2291,SAVINGS,5400.00,USD,ACTIVE,2023-02-20,3
1005,3,****7745,CHECKING,12630.88,USD,ACTIVE,2023-03-10,4
1006,3,****5503,SAVINGS,45000.00,USD,ACTIVE,2023-03-10,4
1007,4,****9901,CHECKING,3100.50,USD,ACTIVE,2023-01-22,5
1008,5,****4412,CHECKING,7820.33,USD,ACTIVE,2023-04-05,2
1009,5,****3387,SAVINGS,22000.00,USD,ACTIVE,2023-04-05,2
1010,6,****1156,CHECKING,950.00,USD,ACTIVE,2023-05-12,6
1011,7,****8823,CHECKING,5400.20,USD,ACTIVE,2023-06-18,7
1012,7,****6641,SAVINGS,11000.00,USD,ACTIVE,2023-06-18,7
1013,8,****3309,CHECKING,2340.75,USD,ACTIVE,2023-07-25,8
1014,9,****7712,CHECKING,8900.00,USD,ACTIVE,2023-08-14,9
1015,9,****4480,SAVINGS,33000.00,USD,ACTIVE,2023-08-14,9
1016,10,****2256,CHECKING,620.40,USD,DORMANT,2023-09-01,10
1017,11,****5534,CHECKING,15200.90,USD,ACTIVE,2023-09-20,1
1018,11,****9967,SAVINGS,60000.00,USD,ACTIVE,2023-09-20,1
1019,12,****1123,CHECKING,3780.55,USD,ACTIVE,2023-10-08,4
1020,13,****4456,CHECKING,9450.00,USD,ACTIVE,2023-10-30,5
1021,13,****8890,MONEY_MARKET,75000.00,USD,ACTIVE,2023-10-30,5
1022,14,****2278,CHECKING,2100.30,USD,ACTIVE,2023-11-15,3
1023,15,****6645,CHECKING,6700.00,USD,ACTIVE,2023-12-01,7
1024,15,****3312,SAVINGS,14500.00,USD,ACTIVE,2023-12-01,7
1025,16,****7789,CHECKING,11200.60,USD,ACTIVE,2024-01-10,2
1026,17,****5523,CHECKING,430.80,USD,ACTIVE,2024-01-22,6
1027,18,****9956,CHECKING,28900.00,USD,ACTIVE,2024-02-05,1
1028,18,****1189,SAVINGS,95000.00,USD,ACTIVE,2024-02-05,1
1029,19,****4401,CHECKING,5620.45,USD,ACTIVE,2024-02-18,4
1030,20,****8834,CHECKING,3990.75,USD,ACTIVE,2024-03-01,8
1031,20,****2267,SAVINGS,8800.00,USD,ACTIVE,2024-03-01,8
1032,21,****6600,CHECKING,17500.00,USD,ACTIVE,2024-03-14,9
1033,22,****3378,CHECKING,2450.10,USD,ACTIVE,2024-03-27,10
1034,23,****7711,CHECKING,9100.33,USD,ACTIVE,2024-04-09,1
1035,23,****5589,MONEY_MARKET,120000.00,USD,ACTIVE,2024-04-09,1
1036,24,****1145,CHECKING,4350.80,USD,ACTIVE,2024-04-22,3
1037,25,****4478,CHECKING,7890.25,USD,ACTIVE,2024-05-05,5
1038,25,****8812,SAVINGS,19500.00,USD,ACTIVE,2024-05-05,5
1039,26,****2245,CHECKING,1100.00,USD,ACTIVE,2024-05-18,7
1040,27,****6679,CHECKING,34000.00,USD,ACTIVE,2024-06-01,2
1041,28,****3356,CHECKING,5560.40,USD,ACTIVE,2024-06-14,4
1042,28,****7790,SAVINGS,27000.00,USD,ACTIVE,2024-06-14,4
1043,29,****1123,CHECKING,8800.90,USD,ACTIVE,2024-07-01,6
1044,30,****4457,CHECKING,3400.00,USD,ACTIVE,2024-07-14,8
1045,31,****8891,CHECKING,22300.70,USD,ACTIVE,2024-07-27,1
1046,32,****2224,CHECKING,680.00,USD,ACTIVE,2024-08-09,9
1047,33,****6658,CHECKING,11500.55,USD,ACTIVE,2024-08-22,10
1048,33,****3392,SAVINGS,38000.00,USD,ACTIVE,2024-08-22,10
1049,34,****7726,CHECKING,4200.30,USD,ACTIVE,2024-09-04,3
1050,35,****1159,CHECKING,9750.00,USD,ACTIVE,2024-09-17,5
